,ID,sex,race,class,major,math.level,modality,Anxiety.avg,Anxiety.pca1,Anxiety.wt.pca,Anxiety.cfa,Anxiety.mea.avg,Anxiety.mea.pca1,Anxiety.mea.wt.pca,Anxiety.mea.cfa,Anxiety.mla.avg,Anxiety.mla.pca1,Anxiety.mla.wt.pca,Anxiety.mla.cfa,SelfEfficacy.avg,SelfEfficacy.pca1,SelfEfficacy.wt.pca,SelfEfficacy.cfa,Technology.avg,Technology.pca1,Technology.wt.pca,Technology.cfa,Cooporative.avg,Cooporative.pca1,Cooporative.wt.pca,Cooporative.cfa,Deductive.avg,Deductive.pca1,Deductive.wt.pca,Deductive.cfa,Demonstration.avg,Demonstration.pca1,Demonstration.wt.pca,Demonstration.cfa,Inductive.avg,Inductive.pca1,Inductive.wt.pca,Inductive.cfa,Integrative.avg,Integrative.pca1,Integrative.wt.pca,Integrative.cfa,LectureType.avg,LectureType.pca1,LectureType.wt.pca,LectureType.cfa,Repetitive.avg,Repetitive.pca1,Repetitive.wt.pca,Repetitive.cfa,Engage.avg,Engage.pca1,Engage.wt.pca,Engage.cfa,Resource.avg,Resource.pca1,Resource.wt.pca,Resource.cfa
21,21,male,white,yr2,Business,math03,Auditory,2,-1.69836913,-0.971922617,-0.332775399,2.75,-1.16102187,-0.85057814,-0.753391885,1.4,-1.174178609,-0.298083671,-0.375317025,3.333333333,-0.554610857,-0.271598565,-0.11863278,2,-2.342482701,-1.450861654,-0.737257409,2.333333333,-1.109924224,-0.854528653,-0.494507404,3.285714286,-0.381832642,-0.03897427,0.272651296,3.428571429,-0.360051504,-0.329702044,-0.023824407,3.571428571,0.355480633,0.133249124,0.17935657,2.714285714,-0.448314193,-0.280705646,-0.204767125,3.428571429,-0.304091987,0.080618623,0.246733066,2.285714286,-2.266377011,-1.529253353,-0.881698184,2.666666667,0.138137185,0.391784355,0.003753859,3.75,1.19892294,0.652257771,0.296172788
22,22,male,other,yr2,Health,stats,Auditory,2.666666667,0.062600897,0.180869895,0.022841689,3.75,0.511629518,0.298666908,0.197072541,1.8,-0.335711503,0.013003323,-0.108829172,1.666666667,1.958630417,1.061070287,-2.43114881,2.3,-1.536375526,-0.753239095,-0.521777202,3,0.136243568,0.048584982,0.068393594,2.857142857,0.988461535,0.43045317,-0.411580569,2.714285714,-2.149247651,-1.260567146,-0.720248236,2.857142857,-1.534454541,-1.083040004,-0.513585486,2,-2.101514886,-0.889866544,-0.893480062,2.714285714,1.559818922,1.05896841,-0.59604789,3,-0.655236474,-0.566039176,-0.244273361,2,-1.160410505,-0.895619342,-0.476645902,3.5,0.724861417,0.459583308,0.237245892
23,23,male,white,yr5+,STEM,other,Visual,1.666666667,-2.456920742,-1.217942652,-0.410985569,2.25,-1.950431843,-1.379719156,-0.860913206,1.2,-1.5821124,-0.902712662,-0.39022585,4,-1.606785676,-0.747328484,1.150222273,2.4,-1.188730519,-0.73402808,-0.427480921,1.333333333,-3.152343557,-1.964981444,-1.444026142,3.571428571,-0.797732054,-0.484951642,0.333860698,2.571428571,-2.530840791,-1.242470878,-0.843814093,3,-1.141834215,-0.843449027,-0.372561907,2.857142857,-0.109980993,0.089889931,-0.184111716,2.714285714,1.591030903,1.069596167,-0.669772324,1.571428571,-3.859030287,-2.230152276,-1.351857141,2,-1.160410505,-0.895619342,-0.476645902,3.25,0.147406082,0.320249667,0.132502713
24,24,female,white,yr3,STEM,stats,Kinesthetic,2.777777778,0.273138415,-0.035316218,-0.012692621,3.75,0.414842077,0.557086112,-0.072715109,2,0.012315327,0.54294968,-0.08919832,3.333333333,-0.676339719,-0.273062747,1.710691533,1.9,-2.492033139,-1.525267102,-0.701330435,2.333333333,-1.14453051,-0.741383527,-0.516948482,3,0.599902161,0.233577722,-0.236557346,3.142857143,-1.166672747,-0.747806487,-0.387953822,3.142857143,-0.780624059,-0.619672376,-0.254653222,3.142857143,0.485275106,0.390679317,0.140886521,2.857142857,1.23090942,0.767794785,-0.468836542,3.285714286,-0.072216361,0.065498982,0.006122337,2.333333333,-0.51113666,-0.251917493,-0.236446022,3.75,1.19892294,0.652257771,0.296172788
25,25,female,white,yr1,Health,stats,Visual,1.333333333,-3.32393851,-1.785110462,-0.652703318,1.25,-3.623083232,-2.528964203,-1.811377631,1.4,-1.163244529,-0.644629905,-0.274404976,3.666666667,-1.085231355,-0.654271759,1.485497456,2.7,-0.178608669,-0.135687679,-0.135069549,4,2.039285373,1.349054335,0.928039969,4,-1.631108192,-1.017339125,0.582392674,4,0.904639848,0.49124918,0.305554001,4,1.274713794,0.805666028,0.42559114,3.714285714,1.919538089,0.962337155,0.760066929,4,-1.31947231,-0.887999469,0.483929867,4,1.521669987,0.954496394,0.584072808,2.666666667,0.182688507,0.138485388,0.093375521,2.75,-1.176029208,-1.001136576,-0.355806505
26,26,male,white,yr2,Other,math02,Kinesthetic,3.666666667,2.740107139,1.347566526,0.487313547,4.75,2.155026528,1.604085594,1.127225123,2.8,1.748036957,1.140606238,0.403307964,1.666666667,1.958630417,1.061070287,-2.43114881,3.9,3.32693375,2.173959817,1.041992256,3.833333333,1.730779834,1.082843802,0.793375852,4,-1.631108192,-1.017339125,0.582392674,4,0.904639848,0.49124918,0.305554001,4,1.274713794,0.805666028,0.42559114,3.142857143,0.730569332,0.214803677,0.372805805,4,-1.31947231,-0.887999469,0.483929867,4,1.521669987,0.954496394,0.584072808,1,-3.150180301,-2.379927848,-1.298700268,1.75,-3.421659481,-2.549242757,-0.981588951
27,27,female,white,yr2,STEM,other,Visual,2.666666667,0.089641197,0.19249792,0.04350354,3.75,0.497884624,0.397151623,0.27589593,1.8,-0.352523372,0.009312714,-0.09684855,3.666666667,-1.085231355,-0.654271759,1.485497456,3.9,3.360996607,2.141950329,1.116179988,1.666666667,-2.471331577,-1.574266924,-1.131421439,2.571428571,1.439030635,0.933041311,-0.515128092,3.285714286,-0.80432616,-0.336041703,-0.30462763,3,-1.223990042,-0.948173676,-0.448999314,2.857142857,-0.1099381,-0.021041906,-0.179467697,3.142857143,0.545821335,0.399370063,-0.201421514,2.428571429,-1.942805797,-1.36795972,-0.704762884,3,0.831962352,0.782187237,0.333575402,4,1.672984464,0.844932233,0.355099684
28,28,male,white,yr3,STEM,other,Visual,2.777777778,0.370605809,0.48637442,0.07330179,4,0.85558049,0.846740232,0.259777132,1.8,-0.308696917,-0.124773781,-0.05474385,2,1.428009918,0.678397093,-0.827018574,3.3,1.637731285,0.979500458,0.560938832,1.833333333,-2.051620576,-1.540428299,-0.919360088,2.428571429,1.768908303,1.055179504,-0.648992758,2.571428571,-2.469223077,-1.612194152,-0.782350674,2.714285714,-1.939189226,-1.085398533,-0.685806644,2.714285714,-0.372285592,0.108196081,-0.122770591,3,0.808611546,0.612695132,-0.31488523,2.857142857,-1.009728552,-0.560552671,-0.382602395,3.333333333,1.478633135,1.232391013,0.585608344,4,1.672984464,0.844932233,0.355099684
29,29,female,other,yr3,STEM,math01,Kinesthetic,4.444444444,4.820590229,2.119682585,0.823807876,5,2.611274425,1.836050791,1.558852597,4,4.131570727,2.171848122,1.075556131,2.333333333,0.802859093,1.163109124,-3.211780284,1.5,-4.061278093,-2.238701428,-1.38031832,1.333333333,-3.16033489,-2.003606876,-1.449025846,1,5.237967985,2.959623183,-1.997933058,2.428571429,-3.09349854,-1.535091799,-1.156985453,1.285714286,-5.405563386,-3.10051009,-1.85537929,1,-4.181092908,-2.074378975,-1.515270354,1.142857143,5.283841786,3.246423007,-2.107526961,1.571428571,-3.884151771,-2.272569077,-1.344791713,3.666666667,2.169855241,1.429295822,0.927262948,2.75,-1.072635397,-1.054477397,-0.309990222
30,30,male,Asian,yr3,STEM,other,Kinesthetic,1.555555556,-2.817539031,-1.495709719,-0.579780063,2,-2.460467909,-1.607923502,-1.620839876,1.2,-1.539211398,-0.983859929,-0.3834179,2.666666667,0.384901278,0.492283642,-1.49756894,2.4,-1.249710114,-0.575571279,-0.469420148,2.166666667,-1.408280359,-1.159291434,-0.625052976,3,0.703258692,0.444740784,-0.294825864,2.714285714,-2.155636086,-1.023588497,-0.720674042,3.285714286,-0.410347009,-0.509337305,-0.15525709,1.428571429,-3.261093481,-1.671052061,-1.216936896,4.142857143,-1.968137623,-1.137963548,0.896451896,2.428571429,-1.963313739,-1.28230417,-0.744081756,2,-1.204961827,-0.642320375,-0.566267565,4,1.672984464,0.844932233,0.355099684
