"","ID","sex","race","class","major","math.level","modality","Anxiety.avg","Anxiety.pca1","Anxiety.wt.pca","Anxiety.cfa","Anxiety.mea.avg","Anxiety.mea.pca1","Anxiety.mea.wt.pca","Anxiety.mea.cfa","Anxiety.mla.avg","Anxiety.mla.pca1","Anxiety.mla.wt.pca","Anxiety.mla.cfa","SelfEfficacy.avg","SelfEfficacy.pca1","SelfEfficacy.wt.pca","SelfEfficacy.cfa","Technology.avg","Technology.pca1","Technology.wt.pca","Technology.cfa","Cooporative.avg","Cooporative.pca1","Cooporative.wt.pca","Cooporative.cfa","Deductive.avg","Deductive.pca1","Deductive.wt.pca","Deductive.cfa","Demonstration.avg","Demonstration.pca1","Demonstration.wt.pca","Demonstration.cfa","Inductive.avg","Inductive.pca1","Inductive.wt.pca","Inductive.cfa","Integrative.avg","Integrative.pca1","Integrative.wt.pca","Integrative.cfa","LectureType.avg","LectureType.pca1","LectureType.wt.pca","LectureType.cfa","Repetitive.avg","Repetitive.pca1","Repetitive.wt.pca","Repetitive.cfa","Engage.avg","Engage.pca1","Engage.wt.pca","Engage.cfa","Resource.avg","Resource.pca1","Resource.wt.pca","Resource.cfa","Teacher.ctrd.pca1","Teacher.ctrd.wt.pca","Teacher.ctrd.cfa","Student.ctrd.pca1","Student.ctrd.wt.pca","Student.ctrd.cfa"
"11",11,"male","Black","yr3","STEM","math01","Visual",2.44444444444444,-0.476105367222347,-0.0607965326927013,-0.0397406909110774,3.75,0.479821575558932,0.454068238616331,0.195308992368101,1.4,-1.09668077341701,-0.419664746477844,-0.303718488963618,2.33333333333333,-2.88805329286386,-1.53505676872815,-1.8701948280018,5,5.13824693225348,3.23210573376393,1.54611634547636,1.33333333333333,-3.15233765385968,-1.8882137520015,-1.43883989393405,2.57142857142857,-1.48574935314318,-0.87679800378135,-0.515174485214739,2.14285714285714,-3.57423230136537,-1.82636504126005,-1.18614445889602,2.71428571428571,-1.79600179567686,-1.13485890596818,-0.559079949877029,2.28571428571429,-1.19596444102397,-0.333761560814208,-0.434679408088986,3.14285714285714,-0.688915102058619,-0.314768832336035,-0.362258249406026,3,-0.718891656061289,-0.508999579595556,-0.253594704755428,3,1.15706768924149,0.699229858242648,0.48582451858095,1.25,-1.19824617414375,-0.649141322816323,-0.297180160171598,-1.64542068707629,-1.6418074857555,-1.75387369957562,-2.08191140614351,-2.07618673256743,-2.02472419656064
"12",12,"male","white","yr5+","STEM","math03","Visual",3,1.06490291977497,0.356894868793423,0.337990893480087,4.25,1.48669175928046,0.667703513469915,1.28172797254251,2,0.0603155429471266,0.269867356805079,-0.0468949208336013,4,-0.271942881965561,-0.780166538998364,-1.59782332178249,5,5.13824693225348,3.23210573376393,1.54611634547636,2.5,-0.865996405171113,-0.525180534595001,-0.403811435029297,3.42857142857143,0.445340654324577,0.177488855847741,0.197431392352381,4.57142857142857,2.26007870018419,1.45660348187893,0.719381952244568,3,-1.09181267194944,-1.06934990588873,-0.376033074703955,1.57142857142857,-2.89205520822025,-1.44148593631483,-1.03201284462423,3.57142857142857,0.341441102529242,0.36522068387336,0.103224131128165,3.71428571428571,0.898307752672261,0.574598465491271,0.314519705434398,2,-0.828493649847685,-0.588696153335333,-0.347877376079046,1.5,-0.61626116216203,-0.248898113372816,-0.101337643563602,0.91093979665693,0.908882327182698,0.984021686279758,-1.66930078818742,-1.6645653082628,-1.02103252915153
"13",13,"female","white","yr2","Health","stats","Kinesthetic",2.88888888888889,0.634005961061613,0.134628110005994,-0.0821012621702328,2.75,-1.23336878741434,-0.759762365421152,-0.990918458572803,3,2.10864446827796,0.838512925525873,0.634046862268663,3.33333333333333,1.49635505112265,1.03645243024775,1.260811064519,3.5,0.755796545203714,0.479622700632243,0.276961377576389,2.66666666666667,-0.479746742015203,-0.473166868677014,-0.213620031785471,3.85714285714286,1.3233674486056,0.69519524574283,0.527159370155099,4.28571428571429,1.49169747222342,0.943857511190284,0.486408470551279,2.71428571428571,-1.99008413923453,-1.24821023857859,-0.739333834275264,3.28571428571429,0.698143706403718,0.131693188213596,0.226612334873322,2.57142857142857,-1.85565092351631,-1.28625473565658,-0.784268682898549,3.57142857142857,0.580044376864956,0.307795216485671,0.147812349509552,2.66666666666667,0.466985232975726,0.299036246788439,0.165126956051951,1,-1.67283681550894,-0.843331082978897,-0.357244458281023,0.290892195394803,0.290241227453996,0.268303547615364,-0.588275255521475,-0.586314515667201,-0.929129131099725
"14",14,"female","white","yr5+","STEM","other","Kinesthetic",2.55555555555556,-0.195024435165489,0.0989203961464633,0.0759906355621551,4,0.963369332068843,0.53045123980357,0.61640136948368,1.4,-1.20442550860331,-0.898893518600078,-0.288409249771659,3.33333333333333,1.49635505112265,1.03645243024775,1.260811064519,2.3,-2.72909004806944,-2.10378578657377,-0.880743526497017,2,-1.70919648172359,-1.33602012345651,-0.767405542390655,2.57142857142857,-1.32006536599886,-0.825685999709776,-0.448277124388391,3.14285714285714,-1.05872625894673,-0.476949327399976,-0.344555406515908,3.57142857142857,0.406272583359193,0.269963575375043,0.234396912601112,2.57142857142857,-0.750784461610263,-0.221687765597992,-0.503968793482754,4,1.63772813071148,0.807036496198987,0.762688895191872,2.57142857142857,-1.64179497851613,-1.15843513538076,-0.8472533829643,1.66666666666667,-1.52387121783329,-1.19442521576817,-0.667664782299318,1.5,-0.72365553277856,-0.454951562653748,-0.237115862062172,-0.454164885766139,-0.45303695076854,-0.416874712489813,-0.919174462445189,-0.916924341963219,-0.578520854455384
"15",15,"male","white","yr1","STEM","math04","Visual",2.22222222222222,-1.13156180625215,-0.428877887535254,-0.302549456950259,2.75,-1.23336878741434,-0.759762365421152,-0.990918458572803,1.8,-0.356328281921502,-0.367171826395463,-0.0671886084790002,4,1.60834041297087,0.748264429125896,1.15263555170888,3.2,-0.13343860742019,0.0602877859946471,-0.125558632406949,3.33333333333333,0.736322096162937,0.492689244321028,0.334636714073264,4,1.58099834805754,1.00464806536211,0.533493189285092,4,0.955663885903185,0.57617312094018,0.315657213996747,4.14285714285714,1.73481500269371,1.2624445962131,0.605993420627506,3.14285714285714,0.445523968736626,0.0977748125252119,0.125919639820489,4.14285714285714,1.88952345551198,0.970271951561188,0.807722866225345,3.42857142857143,0.259006828566422,0.167154061247377,0.156405961849219,4,3.15321925177034,2.39822677177788,1.31770610062349,2.25,0.905529349199279,0.0105410958998466,0.0352558508438541,1.23527176129967,1.23267278612867,1.24445372826864,0.919008521393507,0.916225440056686,0.983616295274182
"16",16,"female","white","yr1","Other","math02","Kinesthetic",3.66666666666667,2.78004352658718,1.52343077217834,0.578410838479241,4.75,2.23436322875984,1.4501242196545,1.45286907155173,2.8,1.64857781305389,0.469278982197552,0.507485273844189,2.33333333333333,-2.88805329286386,-1.53505676872815,-1.8701948280018,4.2,2.66177297603792,1.72272171874182,0.709836355782243,1.66666666666667,-2.40216634596079,-1.6097056223515,-1.08718047443774,2.42857142857143,-1.76098800754521,-1.16911492547418,-0.594169506001335,3.28571428571429,-0.83163408378698,-0.564685595420439,-0.295533490531719,4.14285714285714,1.59996805293247,1.1343022449334,0.518960548730029,2.42857142857143,-0.938287456254441,-0.475993038620886,-0.333104146316325,3.14285714285714,-0.580510334324068,-0.369397684123291,-0.272208986620836,3.71428571428571,0.846473613620592,0.728503822303523,0.32617417321092,1,-2.8193501006567,-2.08215761589194,-1.18066911443031,1,-1.67283681550894,-0.843331082978897,-0.357244458281023,-0.685432340430708,-0.684094940211513,-0.670793332749214,-0.766023412446889,-0.764421881786469,-0.528749910016444
"17",17,"female","white","yr1","Other","math01","Auditory",2,-1.70544383837093,-0.660898469541522,-0.295174757184896,3.25,-0.375985296164741,-0.29216901114162,-0.484255531952612,1,-1.95504008926597,-1.07400307772127,-0.507646282781735,3,1.90569748980172,1.41759468029943,1.0374257714237,3,-0.69681226820327,-0.321755440101255,-0.258469977225271,5,3.98435659437913,2.5733391078196,1.81497060131627,5,3.92623787385585,2.35065491663691,1.44823660870164,5,3.30754286265972,1.91470184534554,1.09004049390938,5,3.74076446197302,2.29211987991794,1.25912425555663,3,0.194283465407391,0.121163087072162,0.0609012508279319,5,3.62759050897395,2.3372166338362,1.38395234311348,5,3.73922397476099,2.23757349792168,1.38341734661819,4,3.15321925177034,2.39822677177788,1.31770610062349,1.75,-0.249064891413367,-0.260761802491173,-0.177051563952747,3.42372537277778,3.41628376306706,3.4434964052518,2.62375671493957,2.61625991891914,3.02614168633558
"18",18,"female","Black","yr2","Health","stats","Kinesthetic",2.44444444444444,-0.495230612416593,-0.136112823867655,-0.155029705503431,3,-0.791172321132063,-0.465604741234601,-0.641158709699951,2,0.0510966016890514,-0.261394103989818,0.0681942914602977,4.33333333333333,0.268327735085447,-0.106974319907311,1.93096694380488,3.5,0.863588282084591,0.482359166644424,0.333022169444028,4,2.0385913183073,1.34542088560157,0.927368362002478,3.85714285714286,1.27635426083207,0.815881187028295,0.442405072350714,3.85714285714286,0.534444780410067,0.30589659351296,0.167140802354137,3.85714285714286,0.883167153420876,0.621377522359179,0.282453718783717,3.71428571428571,1.80056740419094,0.991997275576295,0.612377777454807,3.57142857142857,0.306288855929357,0.213465092479077,0.0778403074747445,3.85714285714286,1.21204798764427,0.722071528054427,0.450500430860035,2.33333333333333,-0.18075420843598,-0.144829953273447,-0.0913752100135473,3,2.80545497048298,1.9838068882668,0.804188363258308,0.697537383090681,0.696011688199719,0.669887124483923,1.60182062640242,1.59744768621741,1.30219626068599
"19",19,"male","Asian","yr1","Other","math02","Auditory",3.22222222222222,1.56306406962661,0.93459010867649,0.35725371255588,4.75,2.15323726783049,1.60702957017471,1.13730221736576,2,0.0500534537799797,0.147250717766265,-0.0296020733590595,3.33333333333333,0.556213403654435,0.272236946185618,-0.114418372226684,1.7,-4.42461968553172,-2.68788813299282,-1.34369461597476,2.33333333333333,-1.20740795671619,-0.676617553615476,-0.547478135991699,2.71428571428571,-1.30862661415247,-0.771431426801894,-0.529334670893698,3.71428571428571,0.261920344915643,-0.212676656496794,0.153937451951536,3,-1.10640067927836,-0.692341160630634,-0.30982627742307,2.14285714285714,-1.49513397718318,-1.04243475853924,-0.340494685721102,1.85714285714286,-3.54950746331741,-2.01208718188134,-1.3354612005756,2.14285714285714,-2.60579059780251,-1.3904502649549,-0.929196493685414,1.66666666666667,-1.47623309125939,-1.03256235339722,-0.604379542144544,1,-1.67283681550894,-0.843331082978897,-0.357244458281023,-1.56876853601218,-1.56538093702008,-1.52920183248167,-1.0482989281862,-1.04535896234363,-0.916014305957177
"20",20,"female","white","yr3","Business","math03","Visual",3,1.08576347480692,0.659213555866245,0.36502753438377,4.5,1.86052749402015,1.05891386656221,1.36729852204712,1.8,-0.345922103819999,-0.215046263614305,-0.0945581754342779,3.33333333333333,-0.38392824381378,-0.491978537876512,-1.48964780897237,2.8,-1.3834608804002,-0.869919620977585,-0.613209928246769,1.5,-2.77314510879249,-1.73833636914051,-1.2604415868522,2.57142857142857,-1.46043200999143,-0.9710858199899,-0.513969007162162,3,-1.50668296183253,-0.723967086152183,-0.530433835910513,3,-1.31504313127951,-0.827030026655679,-0.475430863986584,2.28571428571429,-1.25757066047491,-0.7975260901084,-0.40549481522154,2.71428571428571,-1.70378218131298,-0.987287773268834,-0.721295752496491,3.28571428571429,-0.0900482142176398,0.319338961432056,0.120865553775648,3,1.16236280096133,0.904765309221273,0.484914362272223,2.75,2.27960022272039,0.958542653100726,0.608808511847291,-1.20598568849975,-1.2034711637512,-1.24453094302991,-1.83575704849118,-1.83071616137286,-1.76438741797735
