"","ID","sex","race","class","major","math.level","modality","Anxiety.mea.avg","Anxiety.mea.pca1","Anxiety.mea.wt.pca","Anxiety.mea.cfa","Anxiety.mla.avg","Anxiety.mla.pca1","Anxiety.mla.wt.pca","Anxiety.mla.cfa","SelfEfficacy.avg","SelfEfficacy.pca1","SelfEfficacy.wt.pca","SelfEfficacy.cfa","Technology.avg","Technology.pca1","Technology.wt.pca","Technology.cfa","Cooporative.avg","Cooporative.pca1","Cooporative.wt.pca","Cooporative.cfa","Deductive.avg","Deductive.pca1","Deductive.wt.pca","Deductive.cfa","Demonstration.avg","Demonstration.pca1","Demonstration.wt.pca","Demonstration.cfa","Inductive.avg","Inductive.pca1","Inductive.wt.pca","Inductive.cfa","Integrative.avg","Integrative.pca1","Integrative.wt.pca","Integrative.cfa","LectureType.avg","LectureType.pca1","LectureType.wt.pca","LectureType.cfa","Repetitive.avg","Repetitive.pca1","Repetitive.wt.pca","Repetitive.cfa","Engage.avg","Engage.pca1","Engage.wt.pca","Engage.cfa","Resource.avg","Resource.pca1","Resource.wt.pca","Resource.cfa","Teacher.ctrd.pca1","Teacher.ctrd.wt.pca","Teacher.ctrd.cfa","Student.ctrd.pca1","Student.ctrd.wt.pca","Student.ctrd.cfa"
"11",11,"male","Black","yr3","STEM","math01","Visual",3.75,0.480344801660627,0.451960064824427,0.181869221466081,1.4,-1.08715512479952,-0.633063023044042,-0.290157472800384,2.33333333333333,-2.8871977752707,-1.53281721396016,-1.86735472281452,5,5.13171496016993,3.22150048198912,1.52393034932561,1.33333333333333,-3.14640339259565,-1.90143704051016,-1.43435782274244,2.57142857142857,-1.48519766429328,-0.877522009243227,-0.516834133041057,2.14285714285714,-3.57055148940897,-1.82766610015394,-1.18887755852917,2.71428571428571,-1.79163547368502,-1.11317268598747,-0.556727141709207,2.28571428571429,-1.19233422884473,-0.4366472412817,-0.433129453984064,3.14285714285714,-0.684615763147915,-0.354990733835529,-0.359021747897435,3,-0.714224732695143,-0.509820877668295,-0.239312795039084,3,1.15531620532439,0.689246833080747,0.48104087735385,1.25,-1.19847666055308,-0.652507558069461,-0.294912104566007,-1.61635234293995,-1.12453844465904,-0.594078616405721,-1.73793897860895,-1.36439432940809,-0.737395336256438
"12",12,"male","white","yr5+","STEM","math03","Visual",4.25,1.47702113233287,0.643465032504615,1.280137500588,2,0.0530772826703489,0.34347226583457,-0.0475441377454702,4,-0.272863217332985,-0.780517843487975,-1.60079147921115,5,5.13171496016993,3.22150048198912,1.52393034932561,2.5,-0.863285195664925,-0.514401374052179,-0.408557276829095,3.42857142857143,0.442963101499469,0.204650569325567,0.194583028696984,4.57142857142857,2.26467324049126,1.47011394648167,0.724405143766862,3,-1.0844613501198,-1.06050823920617,-0.367983138941975,1.57142857142857,-2.88720124190887,-1.4743634177038,-1.03120905600238,3.57142857142857,0.347514131763893,0.340857497102146,0.110365155011219,3.71428571428571,0.894353463642452,0.574102537552748,0.306261074041454,2,-0.828915728028531,-0.587694347450185,-0.346338725843645,1.5,-0.617677309489203,-0.254622251567694,-0.100175448081749,0.93839960735165,0.673590754630145,0.315840997884654,-1.41704051274154,-1.06270313830395,-0.601515233113053
"13",13,"female","white","yr2","Health","stats","Kinesthetic",2.75,-1.22477536113627,-0.735281285315311,-0.988385676052324,3,2.11648127156739,0.731959180629739,0.621540387906779,3.33333333333333,1.49633984202829,1.0362374398763,1.26450583205315,3.5,0.751236262322268,0.603566032574365,0.278532192481199,2.66666666666667,-0.474789655979564,-0.471117816390351,-0.212636775859465,3.85714285714286,1.32296304583178,0.702567524807314,0.529154693927505,4.28571428571429,1.49414499722664,0.946086523122679,0.487010319927918,2.71428571428571,-1.98707018858161,-1.24289771874447,-0.73654883032711,3.28571428571429,0.698849545546296,0.218400172213987,0.226724297833425,2.57142857142857,-1.85696190136464,-1.1711808713617,-0.79086845614243,3.57142857142857,0.577564147342311,0.304070522960035,0.144050562933623,2.66666666666667,0.463339864822976,0.284623759769849,0.158998651552895,1,-1.67156413915867,-0.843882077011064,-0.352923347074065,0.328562558053335,0.172715563268267,0.105295277019177,-0.553754218310906,-0.271686590376037,-0.235084903093721
"14",14,"female","white","yr5+","STEM","other","Kinesthetic",4,0.960825367639542,0.525994434576095,0.617273142541686,1.4,-1.20624879455775,-0.61703841860333,-0.28133696640066,3.33333333333333,1.49633984202829,1.0362374398763,1.26450583205315,2.3,-2.73941139345701,-2.03876727974477,-0.878786449985434,2,-1.70391530665778,-1.34184545471427,-0.768774948555663,2.57142857142857,-1.31549367319173,-0.818232046768233,-0.445648464615935,3.14285714285714,-1.05330694876993,-0.486881109048059,-0.341114784794206,3.57142857142857,0.409628036923087,0.268502994522896,0.232008334883036,2.57142857142857,-0.753090189724862,-0.246893459524395,-0.503310984354551,4,1.63837067222367,0.918938229018716,0.76086616408365,2.57142857142857,-1.64149570667422,-1.15733653048696,-0.849710273153579,1.66666666666667,-1.53015431243752,-1.2092066643213,-0.672065575697209,1.5,-0.725389181947489,-0.461133039127857,-0.23690086205795,-0.604219042380977,-0.504224192073901,-0.129444060358254,-0.71547014003656,-0.694665988937055,-0.303469257625239
"15",15,"male","white","yr1","STEM","math04","Visual",2.75,-1.22477536113627,-0.735281285315311,-0.988385676052324,1.8,-0.351897475571701,-0.197416480838677,-0.0620632085253715,4,1.60768463577893,0.747574433653776,1.15618931709028,3.2,-0.140580203735532,0.07557905315829,-0.133071622821876,3.33333333333333,0.73785049629459,0.494489440989029,0.336680128236571,4,1.58346297222597,0.986523306569518,0.538972544607673,4,0.9605698727092,0.579317799206609,0.319867820574012,4.14285714285714,1.73756981088704,1.27164780385034,0.608752200549561,3.14285714285714,0.442205381164341,0.215282373617628,0.123614364904556,4.14285714285714,1.88909427233832,0.962153768819688,0.802247887787123,3.42857142857143,0.257136532738444,0.168473132963438,0.154223115642273,4,3.15807262649247,2.39996650073212,1.31578972865656,2.25,0.902355266109302,0.00980326090792849,0.0277984650964382,1.20063622570105,0.904131838971771,0.485647612387269,0.82684536513494,0.529376047364336,0.350978022970848
"16",16,"female","white","yr1","Other","math02","Kinesthetic",4.75,2.22899322774988,1.42960337541737,1.45481316270121,2.8,1.65540387625816,0.734386453308481,0.499690324451081,2.33333333333333,-2.8871977752707,-1.53281721396016,-1.86735472281452,4.2,2.65319131266338,1.79144707558752,0.695421093917185,1.66666666666667,-2.39757652703383,-1.61674396141347,-1.08867398393847,2.42857142857143,-1.75913402670503,-1.21797141747411,-0.593789358116599,3.28571428571429,-0.828101702420342,-0.550869867324864,-0.296074145589176,4.14285714285714,1.59859168107173,1.13434302948935,0.517360109157798,2.42857142857143,-0.934984755497754,-0.374407520284379,-0.334009094873647,3.14285714285714,-0.586272763151263,-0.457674152139549,-0.287700987602073,3.71428571428571,0.850324611575545,0.725772848416944,0.342719893731018,1,-2.82240990528903,-2.08152477154134,-1.17740295309375,1,-1.67156413915867,-0.843882077011064,-0.352923347074065,-0.593204967144594,-0.356315130562062,-0.300625317672101,-0.545162900823598,-0.662259241910264,-0.231022070114824
"17",17,"female","white","yr1","Other","math01","Auditory",3.25,-0.368308747448848,-0.268177744107268,-0.465643923920112,1,-1.95766826697144,-1.12363438544422,-0.497556424846265,3,1.90590032748802,1.41720585880676,1.03828546715453,3,-0.702557131271479,-0.326110850212567,-0.26038116509647,5,3.98282322843044,2.57936891273621,1.8194510001737,5,3.92613352833232,2.35294126627441,1.45210273364758,5,3.31170935523013,1.91813277875012,1.09562411681238,5,3.74208800854917,2.29084272651677,1.25970296808463,3,0.196426032244247,0.106386402066042,0.0620288519513763,5,3.63130769413571,2.34893386780816,1.3870550416303,5,3.73293522636506,2.2231470984821,1.37616993798703,4,3.15807262649247,2.39996650073212,1.31578972865656,1.75,-0.252301703341897,-0.269758520186254,-0.178889619549892,3.51312587973905,2.73643153309284,1.27620653520245,2.26845099714948,1.6406291230889,0.962546997529522
"18",18,"female","Black","yr2","Health","stats","Kinesthetic",3,-0.787823058449714,-0.451648876016844,-0.655670798693447,2,0.0503342670004571,-0.142930550103352,0.064791493643286,4.33333333333333,0.267658385649109,-0.106667816915096,1.94316692674902,3.5,0.860711229750405,0.510059743607519,0.333114327810306,4,2.03910926845244,1.34767683886803,0.931198187346884,3.85714285714286,1.2766977021897,0.805878750231928,0.444061843392755,3.85714285714286,0.538429116562616,0.310086846631393,0.168927084070249,3.85714285714286,0.884337964184631,0.614366790887479,0.281607453209894,3.71428571428571,1.80401826000054,0.867563502587238,0.616274702144445,3.57142857142857,0.30868017872965,0.155138363405726,0.0769574584378162,3.85714285714286,1.20791334988836,0.714638155968788,0.443674878525626,2.33333333333333,-0.182787931602778,-0.151535293840168,-0.0936700371453748,3,2.81133151745417,1.98934332567229,0.803720686380239,0.749353474889917,0.600450014013536,0.259521576702886,1.34704004199399,1.07716954167078,0.571596022932978
"19",19,"male","Asian","yr1","Other","math02","Auditory",4.75,2.1497497657431,1.59576518678731,1.12466368201378,2,0.0369154594844676,0.272522841199043,-0.0356693319160627,3.33333333333333,0.55606591547233,0.272191301305421,-0.113984566097563,1.7,-4.42937603884605,-2.66541251731242,-1.32801621454335,2.33333333333333,-1.20143405145631,-0.691870249351183,-0.536413496777515,2.71428571428571,-1.3056525366254,-0.798180484893399,-0.526163292725947,3.71428571428571,0.26522519129304,-0.200596446728889,0.153242444026096,3,-1.10455382961269,-0.681686072638269,-0.312207209179906,2.14285714285714,-1.48531743170309,-1.0637487184235,-0.338945009686512,1.85714285714286,-3.54461038062136,-2.20805635407011,-1.3303081163276,2.14285714285714,-2.60276893310698,-1.38121523641149,-0.925072643353494,1.66666666666667,-1.47504352445428,-1.0238534010602,-0.599007414541915,1,-1.67156413915867,-0.843882077011064,-0.352923347074065,-1.62408882179538,-1.4060456517664,-0.586594598990362,-0.879796079750647,-0.665539984799486,-0.373363468035674
"20",20,"female","white","yr3","Business","math03","Visual",4.5,1.85300718004138,1.03653420396099,1.36747533164461,1.8,-0.353426787739982,-0.124570523847803,-0.0969837319174146,3.33333333333333,-0.38420801108363,-0.491854837265455,-1.49247496424828,2.8,-1.39568024422826,-0.820261182998115,-0.623368611844796,1.5,-2.76818612777044,-1.74595595786067,-1.2601595940352,2.57142857142857,-1.46154103463124,-0.980202050169031,-0.516917207843346,3,-1.50193629101918,-0.721760854952345,-0.529292704913008,3,-1.31400437250905,-0.836330276640577,-0.476516952126664,2.28571428571429,-1.25884150891296,-0.677960654720891,-0.409046865850361,2.71428571428571,-1.70465303007212,-0.940750003822761,-0.727586897268547,3.28571428571429,-0.0914210739585975,0.319618831617978,0.122192382749973,3,1.16457844923197,0.906136076640967,0.484725501406459,2.75,2.27590684681535,0.960491033077115,0.599329991856263,-1.12442478947635,-0.782537066457345,-0.478032105149671,-1.53954701704479,-1.2119144100211,-0.65322162972582
