"","sex","race","class","major","math.level","modality","mea","mla","selfEfficacy","technology","cooperative","deductive","demonstrative","inductive","integrative","lecture","repetitive","engage","resource","teacher.ctrd","student.ctrd"
"30","male","Asian","yr3","STEM","other","Visual",-1.59846525924114,-0.381982142993917,-1.49247496424828,0.470112351351841,-0.636685778007055,-0.288003866216096,-0.725572762629765,-0.160069317081543,-1.21580616278671,0.89261252167804,-0.736883209779892,0.550414414456535,-0.352923347074065,-0.130392496576014,-0.655677558574012
"31","female","white","yr2","Business","math03","Visual",-0.238183486949403,-0.497556424846265,1.49072619695178,0.57541567177969,-0.819637823359413,-0.903682688422411,-0.127827312752868,-1.04568766302663,-0.508791075069756,-0.468118038829867,-0.503170522442245,-0.346338725843645,-0.352923347074065,-0.503457463719584,-0.767956344296395
"32","male","other","yr2","STEM","stats","Kinesthetic",-1.1809779474971,-0.497556424846265,-2.88055269737188,0.599765909332505,0.372799625305527,1.30478295970423,0.957922385098657,0.306101077962558,0.92244299049695,0.840605674276424,1.23881855951272,-0.346338725843645,0.307676275750728,1.03350071305095,0.535487995971599
"33","female","other","yr1","Business","math03","Visual",-0.0455912155046277,-0.173227237177857,1.93357959177614,0.471547415353736,0.62604252969887,-0.535824183705186,0.233692833231436,0.090392766169453,-0.152201359456954,-0.133939995753522,0.46790867527532,-0.599007414541915,-0.352923347074065,-0.0899538923962439,0.150914977268406
"34","female","white","yr1","STEM","math03","Visual",-0.412859149062617,-0.0545986558958262,2.8692165951025,0.480053561189201,0.633691824432245,-0.212590965249674,-0.0689072126390459,0.308469296689435,-0.89332841356598,0.962400868626028,0.512391102563052,1.05943641590568,-0.191568062242842,0.229010251065229,-0.0310577176507155
"35","female","white","yr3","Other","stats","Kinesthetic",-0.44869236772574,-0.273872413771114,-2.20189160267601,-0.265378453348985,0.101041733979256,1.45210273364758,1.09562411681238,1.25970296808463,1.51755748921897,0.931570162312882,1.37616993798703,0.484725501406459,-0.294912104566007,1.1563516853539,1.00548771677469
"36","female","white","yr5+","STEM","other","Kinesthetic",-0.57089836430828,-0.393856948823324,1.3824096819889,-0.500519442486719,0.985938747685876,0.735095729578728,0.219740677253647,0.951958164980714,0.852668153435735,1.04932059857233,0.725358599169634,0.993747502855608,-0.0882240199196771,0.654842398325322,0.905071954504377
"37","female","white","yr1","STEM","math02","Kinesthetic",0.197220434126202,-0.177637490377719,-1.49247496424828,-0.37309900576623,0.994613707689971,0.426605494848904,1.00247794698475,0.474077940733099,-0.477411323989627,0.758009673734866,0.481227096929752,0.737394190104729,-0.133556819734785,0.652989787739016,0.271861214458872
"38","female","Asian","yr1","STEM","stats","Auditory",1.12209828534234,0.0680301441068776,0.338456163699681,0.523184524307952,0.0319736059834038,-1.28620110206304,-0.634367568721943,-0.409499211486148,-0.89158849233669,-0.46544715082591,-0.493922088258148,0.484725501406459,0.374439019056798,-0.754983223623268,-0.446774477483357
"39","female","white","yr1","Other","math02","Kinesthetic",-0.220266877617842,0.0861807315396349,-1.15793808438679,-0.26038116509647,-0.796635295698459,-0.279289532233136,0.196176549623793,-0.563103456543556,0.0620288519513763,-0.601653047085093,0.105067760249191,-0.602692038594524,-0.352923347074065,-0.183381099225004,-0.391466610616346
"40","male","white","yr1","STEM","math03","Kinesthetic",-1.51369282485598,-0.497556424846265,2.64299623020387,0.631774592114571,-0.812959550435929,-0.284703356273933,0.391483701310126,-0.0675406619429551,-0.412559840141788,0.172731788488669,0.671039857591655,0.484725501406459,-0.133556819734785,0.135817520312427,-0.388801996573921
