"","ID","sex","race","class","major","math.level","modality","ID","AMAS.1","AMAS.2","AMAS.3","AMAS.4","AMAS.5","AMAS.6","AMAS.7","AMAS.8","AMAS.9","MEA.2","MEA.4","MEA.5","MEA.8","MLA.1","MLA.3","MLA.6","MLA.7","MLA.9","Efficacy.1","Efficacy.2","Efficacy.3","Cooperative.1","Cooperative.2","Cooperative.3","Cooperative.4","Cooperative.5","Cooperative.6","Lecture.1","Lecture.2","Lecture.3","Lecture.4","Lecture.5","Lecture.6","Lecture.7","Deductive.1","Deductive.2","Deductive.3","Deductive.4","Deductive.5","Deductive.6","Deductive.7","Inductive.1","Inductive.2","Inductive.3","Inductive.4","Inductive.5","Inductive.6","Inductive.7","Demons.1","Demons.2","Demons.3","Demons.4","Demons.5","Demons.6","Demons.7","Repet.1","Repet.2","Repet.3","Repet.4","Repet.5","Repet.6","Repet.7","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Tach.1","Tach.2","Tach.3","Tach.4","Tach.5","Tach.6","Tach.8","Tach.9","Tach.10","Tach.11","Tach.12","SocialEngage.1","SocialEngage.2","SocialEngage.3","SocialEngage.8","BehaveEngage.4","BehaveEngage.5","BehaveEngage.6","BehaveEngage.7","Resource.9","Resource.10","Resource.11","Resource.12","Modality.1","Modality.2","Modality.3","Modality.4","Modality.5","Modality.6","Modality.7","Modality.8","Modality.9","Modality.10","Modality.11","Modality.12"
"175",175,"female","white","yr1","Other","math02","Kinesthetic",175,3,5,2,4,4,2,1,5,1,5,4,4,5,3,2,2,1,1,2,5,4,3,4,2,2,2,5,4,2,4,2,4,3,3,4,2,3,2,4,2,2,3,3,2,5,3,2,3,5,4,2,2,2,3,3,2,2,4,2,2,3,2,3,4,2,4,4,2,2,3,1,1,1,2,2,3,2,2,2,2,2,3,3,4,4,4,3,4,3,1,1,1,3,1,3,1,1,2,3,2,3,3,2,3
"176",176,"male","white","yr3","STEM","math04","Auditory",176,1,3,1,5,4,1,1,5,1,3,5,4,5,1,1,1,1,1,2,4,4,3,5,4,2,4,4,5,5,4,4,5,5,3,5,4,5,5,5,3,5,3,3,5,2,5,2,4,5,4,5,3,4,4,5,4,2,5,4,4,4,5,5,4,2,2,2,2,2,5,4,5,5,5,4,5,5,5,5,4,1,2,1,1,4,1,2,4,1,2,1,1,1,1,1,3,1,2,2,3,2,1,1,3
"177",177,"female","white","yr3","STEM","stats","Visual",177,4,2,4,3,2,4,5,2,2,2,3,2,2,4,4,4,5,2,2,3,1,2,2,4,1,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,4,4,3,3,3,3,3,3,4,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,2,1
"178",178,"female","white","yr1","Business","other","Kinesthetic",178,3,1,1,2,3,2,2,5,3,1,2,3,5,3,1,2,2,3,3,4,3,3,5,3,5,3,3,5,5,4,4,5,3,5,4,4,5,3,4,2,3,4,5,4,3,5,4,5,5,5,5,3,3,4,3,4,4,5,5,5,4,4,3,4,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,4,3,3,3,2,2,2,1,1,3,2,3,3,3,3,2,1,2,3
"179",179,"female","white","yr3","STEM","math04","Kinesthetic",179,2,5,2,4,4,3,2,4,2,5,4,4,4,2,2,3,2,2,2,4,2,2,2,2,1,1,1,2,1,4,4,2,4,1,3,3,2,2,4,1,1,2,3,4,3,4,2,2,5,5,5,2,2,5,3,2,1,3,2,2,2,4,3,2,2,1,3,2,2,2,1,1,1,2,2,2,3,1,1,1,2,2,2,4,3,4,1,1,3,3,2,1,3,1,2,2,1,2,1,2,3,3,3,3
"180",180,"female","white","yr1","Other","math01","Visual",180,1,3,1,4,4,2,1,4,1,3,4,4,4,1,1,2,1,1,1,5,4,4,4,4,5,5,4,3,3,2,2,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,5,4,4,4,5,5,5,4,5,4,5,2,1,2,1,2,2,1,3,4,4,2,2,2,3,2,2,2,2,2,2,1,3,2,2,1,2,2,3,2,2,2,2,1,3,2
"181",181,"male","white","yr2","Business","math03","Auditory",181,1,3,1,3,1,1,1,5,1,3,3,1,5,1,1,1,1,1,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,3,3,3,3,1,1,1,1,2,3,2,1,3,2,1,3,3
"182",182,"female","white","yr2","Other","math02","Visual",182,2,3,1,3,4,1,1,4,1,3,3,4,4,2,1,1,1,1,4,3,4,1,2,2,1,4,2,3,2,5,4,4,4,3,4,5,4,2,4,1,4,5,3,4,4,5,2,2,4,4,5,1,3,3,5,3,4,5,4,3,4,4,4,3,2,1,2,1,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,1,3,4,4,3,1,2,1,1,3,2,3,2,2,2,1,2,2,1,2,3
"183",183,"female","white","yr3","STEM","stats","Visual",183,2,3,1,3,3,1,1,4,2,3,3,3,4,2,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,5,4,4,4,4,4,2,4,4,2,4,2,4,4,2,4,4,4,4,3,4,3,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,1,3,2,2,1,2,2,3,3,2,3,1,1
"184",184,"female","white","yr4","Other","other","Auditory",184,2,5,1,5,4,5,1,5,3,5,5,4,5,2,1,5,1,3,2,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,4,4,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4,4,4,4,4,4,3,1,2,2,1,1,3,2,2,2,2,1,1,1,4,3,4,1,3,3,4,3,1,1,1,2,1,3,2,1,3,3,3,3,1
"185",185,"male","white","yr2","STEM","math03","Auditory",185,2,3,1,3,3,2,1,4,2,3,3,3,4,2,1,2,1,2,4,2,4,3,4,4,2,2,1,4,3,2,2,3,3,2,2,3,2,3,2,3,3,2,4,3,4,1,2,2,2,3,4,2,4,3,4,2,3,4,3,3,2,2,2,3,2,4,3,2,3,4,3,2,3,3,4,3,4,4,3,3,2,2,2,3,3,3,2,2,3,2,2,1,3,2,1,1,1,2,1,1,2,1,2,2
"186",186,"female","Black","yr1","STEM","stats","Visual",186,1,3,1,3,5,2,1,5,3,3,3,5,5,1,1,2,1,3,3,4,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,3,1,2,3,2,2
"187",187,"female","white","yr1","Business","math03","Auditory",187,1,3,2,3,2,1,1,3,2,3,3,2,3,1,2,1,1,2,2,3,3,3,3,2,2,2,3,4,3,3,3,3,3,2,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,4,3,3,5,5,3,4,3,5,3,3,2,2,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,2,3,2,1,3,2,1,2,1
"188",188,"male","white","yr1","STEM","math02","Kinesthetic",188,1,3,1,4,3,2,1,5,2,3,4,3,5,1,1,2,1,2,2,5,2,3,2,2,1,4,2,4,3,4,3,5,3,1,4,3,4,2,4,1,3,4,3,3,4,4,3,3,4,4,4,4,3,4,5,3,1,4,2,3,4,3,4,3,3,1,3,1,1,4,2,3,3,3,3,3,3,3,3,2,1,2,2,3,3,4,2,2,1,1,1,1,3,1,1,3,1,2,3,2,2,3,3,3
"189",189,"male","Asian","yr1","STEM","math01","Auditory",189,4,1,4,3,4,5,4,3,3,1,3,4,3,4,4,5,4,3,1,2,2,3,3,3,3,3,4,2,2,4,2,4,5,5,3,3,2,2,3,4,3,5,4,5,4,4,5,4,3,4,2,4,2,4,5,3,4,5,3,4,5,5,3,4,3,4,2,4,3,4,3,2,1,3,5,1,1,2,4,3,1,2,1,2,1,2,1,1,3,1,2,1,1,2,3,1,1,1,2,1,2,1,1,3
"190",190,"female","white","yr1","Business","math01","Auditory",190,2,5,3,5,4,3,3,5,3,5,5,4,5,2,3,3,3,3,1,5,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,4,3,3,3,4,3,4,3,5,2,3,2,2,3,3,3,3,2,2,3,3,2,4,3,3,3,2,2,2,1,1,2,3,2,2,1,1,1,1,3,1,2,2,1,2,1,3,2,1,2,1
"191",191,"female","white","yr2","Business","math03","Kinesthetic",191,4,5,4,5,3,2,1,5,3,5,5,3,5,4,4,2,1,3,1,5,1,1,1,1,1,1,1,4,1,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,3,3,3,3,3,3,1,1,2,3,2,4,4,4,3,2,4,2,3,3,2,2,1,1,1,3,2,3,3,3
"192",192,"female","white","yr1","Other","math01","Auditory",192,1,3,1,3,4,2,2,4,2,3,3,4,4,1,1,2,2,2,4,4,4,3,3,4,3,5,2,5,4,5,5,5,5,4,4,4,4,4,4,4,5,4,5,5,5,4,4,5,5,5,4,4,4,4,4,3,5,5,5,5,5,5,3,4,1,4,5,3,4,3,3,3,4,3,3,4,4,4,4,3,2,3,3,4,3,4,3,3,2,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1
"193",193,"female","white","yr1","Other","math01","Kinesthetic",193,1,1,1,2,2,4,2,5,1,1,2,2,5,1,1,4,2,1,4,2,4,5,5,5,5,5,5,5,4,5,4,5,5,3,5,4,4,4,4,2,4,3,2,3,4,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,2,2,3,4,1,5,3,1,1,3,2,4,4,2,3,3,3,2,2,2,3,4,2,2,3,2,1,1,1,2,1,2,1,3,2,1,1,2,3,3,3
"194",194,"female","Black","yr3","Other","other","Kinesthetic",194,2,5,1,5,4,3,1,5,3,5,5,4,5,2,1,3,1,3,1,1,3,5,4,4,4,4,4,3,3,3,2,3,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,3,4,2,2,4,3,3,3,2,3,1,3,1,1,1,1,4,2,3,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,2,1,1,3,1,2,3,1,2,3,2,3
"195",195,"male","white","yr1","Business","math03","Kinesthetic",195,3,2,1,3,2,3,3,3,2,2,3,2,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,2,3,2,1,3,3
"196",196,"female","Black","yr1","Other","math01","Auditory",196,1,3,1,5,1,1,1,4,1,3,5,1,4,1,1,1,1,1,2,5,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,5,5,5,5,5,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,4,3,3,1,1,1,1,3,1,2,1,3,1,1,1,1,3,2,3
"197",197,"female","white","yr1","Health","stats","Visual",197,1,3,1,4,3,2,1,4,2,3,4,3,4,1,1,2,1,2,4,3,3,3,4,3,4,3,3,3,3,3,3,3,4,2,3,4,3,4,4,2,3,3,4,3,5,4,4,4,5,4,4,3,3,4,3,3,2,3,3,2,3,1,2,3,3,3,3,2,3,2,3,3,4,3,3,3,3,3,4,3,2,2,2,3,3,4,3,4,2,2,2,1,3,1,1,2,2,2,2,2,2,1,3,1
"198",198,"female","white","yr1","Other","math01","Kinesthetic",198,1,5,3,5,5,3,2,5,3,5,5,5,5,1,3,3,2,3,1,5,2,1,1,3,1,3,1,4,3,5,3,4,3,2,3,4,4,4,4,1,1,4,2,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,2,3,1,2,1,1,4,4,4,4,3,4,4,4,4,4,4,2,2,2,2,3,3,3,3,1,1,1,1,3,1,1,3,3,2,3,3,2,1,2,3
"199",199,"female","Asian","yr1","STEM","math03","Visual",199,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,5,1,5,3,5,3,3,2,3,5,3,5,4,5,5,3,5,5,3,3,4,1,4,5,4,5,4,4,3,3,5,5,5,4,4,3,4,4,3,4,4,3,5,4,3,4,5,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,1,2,3,1,4,4,3,3,1,2,1,1,3,1,2,2,1,2,2,1,2,3,2,3
"200",200,"female","white","yr3","STEM","other","Kinesthetic",200,2,1,1,1,2,1,1,3,1,1,1,2,3,2,1,1,1,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,2,1,3,2,2,3,3,3,2,3,2,1,3,3
"201",201,"female","white","yr1","Other","math01","Visual",201,2,1,1,2,3,2,2,3,2,1,2,3,3,2,1,2,2,2,4,2,4,5,5,5,5,3,5,5,5,4,5,4,5,4,4,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,3,4,4,4,2,4,3,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,3,3,2,2,1,2,2,1,1,2,2,2,1,2,3,2,2,3,2,1
"202",202,"female","white","yr1","STEM","stats","Kinesthetic",202,1,3,1,3,3,4,1,5,3,3,3,3,5,1,1,4,1,3,4,2,4,4,3,3,1,1,4,4,5,4,3,4,4,3,4,5,4,3,4,2,5,3,4,4,3,5,2,3,5,4,4,4,5,3,4,4,3,5,4,5,4,3,2,3,2,4,4,3,5,3,2,2,3,3,4,3,4,2,2,2,1,2,1,3,2,2,2,3,1,3,1,3,3,2,2,3,3,2,3,1,2,1,3,3
"203",203,"male","white","yr1","Business","math02","Kinesthetic",203,2,3,1,3,1,2,1,4,1,3,3,1,4,2,1,2,1,1,5,4,4,3,5,2,3,1,4,4,3,4,4,5,5,2,2,3,2,2,3,1,3,4,3,3,5,4,2,3,5,5,5,4,3,5,5,3,5,4,4,5,5,3,2,2,2,3,3,2,4,2,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,4,2,2,3,1,1,1,3,2,1,2,2,2,3,3,2,1,3,3
"204",204,"female","Asian","yr3","STEM","stats","Visual",204,3,4,4,5,3,3,3,3,3,4,5,3,3,3,4,3,3,3,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,2,4,4,4,5,4,5,5,5,5,5,1,2,2,2,2,3,3,3,2,2,1,1,2,2,2,2,1,2,1,2,2,3,3,2
"205",205,"male","white","yr1","Business","math02","Auditory",205,1,2,2,4,4,2,2,4,1,2,4,4,4,1,2,2,2,1,2,4,4,4,4,2,3,3,3,2,2,3,2,2,2,1,2,2,2,2,3,1,2,3,2,2,3,4,4,3,3,3,3,3,2,3,3,2,2,4,2,2,2,3,1,2,2,1,2,2,2,3,4,4,4,3,4,3,3,3,3,3,2,2,2,2,3,1,2,3,2,1,1,1,1,2,1,3,2,1,3,3,2,1,3,2
"206",206,"female","white","yr1","Business","math02","Visual",206,1,3,1,2,2,2,2,4,2,3,2,2,4,1,1,2,2,2,5,3,4,3,4,4,3,5,4,5,5,4,4,5,5,5,4,4,4,4,5,3,5,4,4,4,5,4,5,4,5,5,5,4,4,5,4,3,4,5,5,4,4,3,3,3,1,3,3,2,4,3,2,2,2,3,2,3,2,3,2,2,2,3,2,2,4,4,2,3,1,1,1,1,3,2,1,2,2,2,1,2,2,1,3,3
"207",207,"male","white","yr3","STEM","other","Visual",207,1,3,1,4,3,2,1,5,1,3,4,3,5,1,1,2,1,1,3,4,4,1,3,3,3,3,4,4,3,3,3,4,4,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,3,3,3,3,3,3,3,2,1,2,2,4,4,1,1,2,1,1,1,1,1,2,3,3,2,1,2,2,3,2,3
"208",208,"male","white","yr2","STEM","stats","Visual",208,1,2,1,2,1,1,1,3,1,2,2,1,3,1,1,1,1,1,4,3,4,1,1,2,1,3,3,4,1,3,3,4,4,1,4,4,1,4,3,2,2,4,3,3,4,4,2,4,4,3,2,2,3,3,3,2,1,4,2,1,3,1,1,2,1,2,3,1,2,2,4,4,3,3,2,5,4,4,4,4,2,2,1,1,3,4,3,3,1,2,1,1,3,2,2,2,1,2,3,2,1,3,1,3
"209",209,"male","white","yr3","STEM","other","Auditory",209,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,5,5,4,5,4,5,5,4,4,4,4,5,5,5,4,4,5,4,5,4,5,4,5,5,5,4,4,4,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,2,4,2,2,1,1,1,1,1,3,1,2,1,3,3,1,2,1
"210",210,"male","white","yr2","Health","stats","Kinesthetic",210,1,4,1,4,3,2,1,5,2,4,4,3,5,1,1,2,1,2,2,4,3,1,3,1,1,2,1,3,2,3,1,3,3,1,3,3,3,2,3,1,1,3,4,2,5,4,3,2,1,3,2,1,3,5,2,1,4,3,1,2,1,4,1,4,3,1,1,1,1,1,2,2,3,2,3,4,4,4,4,2,2,3,2,4,3,2,1,3,1,2,1,1,3,1,1,2,3,2,3,3,2,3,3,1
"211",211,"female","white","yr1","Other","math02","Visual",211,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,2,3,3,5,2,2,3,4,4,2,2,2,3,3,3,2,4,3,3,3,3,4,4,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,1,1,2,2,3,2,2,1,3,3,3,2
"212",212,"female","white","yr1","Business","math03","Auditory",212,1,4,3,5,5,2,1,5,4,4,5,5,5,1,3,2,1,4,2,4,4,2,4,4,2,4,2,3,4,2,4,2,4,2,2,4,2,3,4,2,5,3,2,4,2,3,2,4,1,4,1,4,2,5,3,4,2,4,3,2,4,4,2,3,3,3,2,3,4,5,5,5,2,5,5,5,5,5,5,5,4,3,2,3,2,3,2,1,1,1,1,4,1,3,1,1,2,1,2,2,1,3,1,1
"213",213,"female","white","yr3","Other","other","Kinesthetic",213,2,4,3,5,5,5,4,5,2,4,5,5,5,2,3,5,4,2,1,5,2,4,2,4,4,3,5,5,3,3,1,2,3,3,2,4,1,4,3,5,2,3,2,2,1,3,3,3,4,2,4,2,4,2,2,2,4,3,1,3,3,3,4,5,2,3,2,1,1,2,1,1,2,2,1,5,2,3,3,1,4,4,4,4,4,4,1,4,2,3,1,1,3,1,1,3,3,1,3,1,3,3,2,3
"214",214,"male","white","yr2","Business","math03","Auditory",214,3,5,5,5,4,3,3,4,5,5,5,4,4,3,5,3,3,5,1,5,1,3,3,3,2,2,4,4,4,3,3,3,3,3,2,4,4,3,2,2,3,3,2,2,3,4,3,2,3,3,2,3,4,2,4,4,3,2,3,4,2,4,4,1,3,4,3,2,2,2,4,4,3,1,1,1,1,1,1,1,2,2,2,3,2,3,3,3,2,2,3,3,2,3,3,1,1,1,1,3,3,2,1,1
"215",215,"female","white","yr3","STEM","math03","Kinesthetic",215,3,5,3,5,5,3,1,5,2,5,5,5,5,3,3,3,1,2,2,4,3,2,1,1,1,2,1,3,3,1,2,4,3,2,3,4,3,4,3,1,1,4,3,3,5,4,4,3,5,1,5,1,2,2,2,1,1,2,1,1,1,1,4,4,3,3,3,1,3,2,4,5,5,4,4,5,5,5,5,5,1,1,1,2,1,4,4,4,1,3,1,1,3,2,3,3,2,2,1,2,2,3,3,3
"216",216,"male","white","yr1","Business","math02","Visual",216,1,1,1,2,2,2,2,3,2,1,2,2,3,1,1,2,2,2,4,3,4,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,4,4,3,3,3,4,5,5,3,4,5,4,5,4,4,5,4,4,4,3,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,2,1,1,1,1,1,2,2,3,2,2,2,2,3,3,3
"217",217,"female","white","yr1","Other","math01","Auditory",217,1,4,2,5,4,2,2,5,3,4,5,4,5,1,2,2,2,3,1,5,3,5,3,3,5,4,5,4,3,4,3,3,4,2,5,4,4,3,4,5,4,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,4,4,4,4,5,5,2,3,1,2,4,1,3,1,3,4,2,4,3,4,4,4,4,3,2,3,4,3,2,3,2,3,3,1,1,1,2,1,3,2,1,1,1,3,2,1,3,3
"218",218,"female","white","yr3","Business","math03","Visual",218,3,5,2,5,4,4,2,5,2,5,5,4,5,3,2,4,2,2,1,5,2,1,1,1,1,3,1,4,2,3,2,5,1,2,3,3,4,3,1,1,3,2,1,3,4,3,2,3,5,5,3,1,1,3,1,1,2,3,1,2,4,4,1,5,1,1,3,3,2,2,4,3,2,2,2,4,3,2,4,2,2,3,3,2,4,4,4,4,1,2,4,1,1,2,2,3,2,2,3,2,2,3,3,2
"219",219,"male","white","yr2","Business","math02","Visual",219,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
"220",220,"female","white","yr1","STEM","math02","Kinesthetic",220,3,5,4,5,4,4,2,5,2,5,5,4,5,3,4,4,2,2,1,5,3,3,2,2,2,2,2,3,3,4,3,5,3,1,4,2,1,4,3,2,2,4,4,2,3,4,2,3,3,4,4,2,4,2,4,4,5,2,3,5,5,5,2,2,1,3,3,1,2,3,2,1,2,2,2,3,3,3,3,2,1,2,2,3,4,4,4,4,3,1,1,1,3,1,1,2,3,2,3,3,2,3,3,3
"221",221,"female","Asian","yr3","STEM","math03","Visual",221,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2,2,1,2,1,1,2,1,2,1
"222",222,"male","white","yr1","Business","math03","Auditory",222,1,3,1,3,2,1,1,5,1,3,3,2,5,1,1,1,1,1,4,4,3,4,4,3,4,4,4,5,5,5,4,4,5,5,4,4,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,2,2,3,2,3,3,3,3,3,2,3,2,1,3,1,3,1,1,1,3,2,3,1,1
"223",223,"female","other","yr5+","Business","math03","Visual",223,1,3,1,3,3,2,1,2,2,3,3,3,2,1,1,2,1,2,3,4,4,2,2,1,1,1,2,3,4,3,3,3,4,3,4,2,4,3,4,1,1,4,4,4,4,4,1,3,4,4,4,3,4,4,5,4,3,4,3,3,2,4,2,2,2,2,2,1,4,4,4,4,4,4,4,5,4,4,5,3,1,2,2,1,3,4,2,2,1,1,1,1,3,2,1,2,2,2,3,3,2,3,2,3
"224",224,"female","white","yr2","STEM","other","Visual",224,1,2,1,2,2,1,1,3,1,2,2,2,3,1,1,1,1,1,5,2,4,1,1,1,1,1,1,1,1,2,2,3,3,1,4,3,2,3,5,1,1,1,2,4,5,3,1,2,4,4,5,4,2,2,2,1,1,2,1,1,1,1,1,1,4,2,2,1,1,3,4,4,4,4,4,4,3,4,4,3,3,4,3,3,3,4,2,3,1,1,1,1,3,1,2,2,1,2,3,3,2,2,2,2
"225",225,"female","white","yr2","Health","stats","Visual",225,1,4,1,4,1,2,1,5,3,4,4,1,5,1,1,2,1,3,2,3,1,4,3,3,1,1,1,4,2,2,2,4,2,1,3,3,3,4,4,4,1,4,3,4,2,3,1,2,4,4,4,4,3,3,3,3,3,4,2,1,2,1,3,3,3,2,2,1,2,3,2,2,2,4,2,5,4,4,4,3,1,1,1,1,3,4,1,2,2,1,1,1,3,2,2,1,3,1,2,1,2,1,3,3
"226",226,"female","white","yr1","STEM","stats","Kinesthetic",226,3,4,2,3,3,5,3,5,2,4,3,3,5,3,2,5,3,2,4,2,4,1,2,1,1,2,3,2,2,4,2,2,2,1,2,1,1,3,3,1,2,2,2,3,2,2,1,3,2,2,3,1,2,2,1,4,3,3,3,2,1,3,1,3,3,1,1,1,2,3,4,4,3,2,3,3,4,3,3,2,2,2,3,2,4,2,1,2,2,1,1,1,1,2,2,3,3,3,3,3,2,3,3,3
"227",227,"male","white","yr2","Business","math03","Visual",227,4,3,3,3,1,2,1,1,2,3,3,1,1,4,3,2,1,2,5,5,5,3,3,3,2,3,4,3,4,3,3,3,2,3,4,4,4,4,4,4,4,3,4,3,3,5,4,5,4,3,4,3,3,3,4,4,5,3,4,4,4,3,4,4,4,3,5,4,4,3,3,2,3,2,4,3,2,3,3,4,2,4,3,3,2,4,3,2,3,3,3,2,1,2,1,3,1,2,2,3,2,2,2,2
"228",228,"male","white","yr2","STEM","other","Kinesthetic",228,1,3,1,2,3,2,1,5,2,3,2,3,5,1,1,2,1,2,3,5,4,2,3,3,1,2,3,3,2,3,2,4,3,2,2,1,2,4,3,2,4,2,2,4,4,4,5,4,3,4,4,4,2,4,4,2,2,3,3,2,4,1,3,3,2,1,2,3,3,3,2,2,2,2,3,4,3,2,3,2,2,2,3,2,4,4,4,4,2,3,4,3,3,2,2,3,1,2,1,3,2,1,3,3
"229",229,"female","white","yr2","STEM","other","Visual",229,1,2,1,1,3,1,1,4,1,2,1,3,4,1,1,1,1,1,5,3,5,4,4,3,4,1,2,5,3,5,3,5,4,3,4,4,3,5,4,2,1,3,5,5,4,5,3,5,5,5,5,5,5,5,5,3,3,5,4,3,4,3,3,5,1,4,4,4,4,4,4,2,2,3,5,5,5,5,5,3,2,3,3,2,3,4,3,4,1,1,2,1,2,2,2,3,2,2,1,3,3,3,3,2
"230",230,"male","white","yr3","STEM","other","Kinesthetic",230,1,1,1,2,3,1,2,3,1,1,2,3,3,1,1,1,2,1,4,2,4,3,4,4,2,4,4,4,4,5,4,5,4,2,5,5,4,4,5,2,3,4,4,4,5,3,4,5,5,4,2,4,4,4,3,2,4,4,3,4,4,3,3,4,1,1,4,2,3,4,3,4,4,4,4,5,5,5,5,5,4,4,4,1,3,4,2,3,1,2,1,1,3,2,2,3,3,2,1,3,2,1,3,3
